model,price,reviews,url,vendor
Roteador tp-link archer c6 wireless gigabit mu-mimo ac1200 - tpn0254,,,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-archer-c6-wireless-gigabit-mu-mimo-ac1200-tpn0254,
Roteador wireless dual band mercusys MR50G,,,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-dual-band-mercusys-mr50g,
Roteador Wireless Intelbras Twibifast Mesh 2 Unds - 4750071,"R$ 651,02",,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-intelbras-twibifast-mesh-2-unds-4750071,
Roteador 300Mbps  Bivolt RE160V Multilaser,,,https://www.buscape.com.br/modem-e-roteador/roteador-300mbps-bivolt-re160v-multilaser,
Access Point Corporativo TP-Link EAP 115N 300Mbps 2 Antenas,"R$ 305,01",,https://www.buscape.com.br/modem-e-roteador/access-point-corporativo-tp-link-eap-115n-300mbps-2-antenas,
Roteador Tenda Mw3 Mesh Ac1200 Mu-mimo Com 3 Unidades,"R$ 798,73",,https://www.buscape.com.br/modem-e-roteador/roteador-tenda-mw3-mesh-ac1200-mu-mimo-com-3-unidades,
Mini Roteador Linksys Dual-Band AC USB Network -WUSB6400M,"R$ 1.496,53",,https://www.buscape.com.br/modem-e-roteador/mini-roteador-linksys-dual-band-ac-usb-network-wusb6400m,
Roteador F-Secure SENSE Wi-Fi Router-FCHXBRQN001G1,"R$ 2.598,66",,https://www.buscape.com.br/modem-e-roteador/roteador-f-secure-sense-wi-fi-router-fchxbrqn001g1,
Access Control Systems,"R$ 936,85",,https://www.buscape.com.br/modem-e-roteador/access-control-systems,
Archer C6 V3 AC1200 - TPN0254,"R$ 259,90",,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-dual-band-tp-link-archer-c6-v3-ac1200-tpn0254,TP-Link
DIR-819,"R$ 120,11",,https://www.buscape.com.br/modem-e-roteador/roteador-733-mbps-d-link-dir-819,D-Link
Roteador Wireless Gigabit Dual BAND AC1200 C5 W Produto Exclusivo para Provedor,"R$ 449,14",,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-gigabit-dual-band-ac1200-c5-w-produto-exclusivo-para-provedor,
"Roteador Tp-link Wireless Archer Xr500v Dual Band Gpon Voip Ac 1200 Giga 1167mbps 2,4/5gh","R$ 576,00",,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-wireless-archer-xr500v-dual-band-gpon-voip-ac-1200-giga-1167mbps-2-4-5gh,
Roteador Access Point Corporativo Db De Alta Velocidade Ap 1750 Ac,"R$ 1.404,99",,https://www.buscape.com.br/modem-e-roteador/roteador-access-point-corporativo-db-de-alta-velocidade-ap-1750-ac,
TL-WA901ND,"R$ 266,00",,https://www.buscape.com.br/modem-e-roteador/access-point-300-mbps-tl-wa901nd-tp-link,TP-Link
Roteador Tp-Link Archer Ac750 Dual-Band Wi-Fi Router Archer,"R$ 1.161,26",,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-archer-ac750-dual-band-wi-fi-router-archer,
Repetidor Wi-Fi AC750,"R$ 392,54",,https://www.buscape.com.br/modem-e-roteador/repetidor-wi-fi-ac750,
Modem Roteador Wireless N Adsl2+ L1-Dw141 Link One,"R$ 176,95",,https://www.buscape.com.br/modem-e-roteador/modem-roteador-wireless-n-adsl2-l1-dw141-link-one,
Archer C50,"R$ 763,97",,https://www.buscape.com.br/modem-e-roteador/roteador-300-mbps-archer-c50-tp-link,TP-Link
Roteador Wireless TP-Link N 300Mbps High Power MW330HP,"R$ 161,36",,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-tp-link-n-300mbps-high-power-mw330hp,
Modem Roteador Wireless Tp-Link N Adsl2+ 300Mbps Td-W8961n,"R$ 317,13",,https://www.buscape.com.br/modem-e-roteador/modem-roteador-wireless-tp-link-n-adsl2-300mbps-td-w8961n,
Roteador Tenda MESH MW3 1200MBPS 3 Unidades,"R$ 658,12",,https://www.buscape.com.br/modem-e-roteador/roteador-tenda-mesh-mw3-1200mbps-3-unidades,
Roteador Tp-link Wireless N 300Mbps 2 Antenas TL-WR840N,"R$ 104,72",,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-wireless-n-300mbps-2-antenas-tl-wr840n,
Access Point Ubiquiti Unifi Ap Ac Lite Ac1200 - Uap-Ac-Lite,"R$ 819,00",,https://www.buscape.com.br/modem-e-roteador/access-point-ubiquiti-unifi-ap-ac-lite-ac1200-uap-ac-lite,
Access Point Aruba AP15 (RW) Instant - R2X06A,"R$ 1.449,00",,https://www.buscape.com.br/modem-e-roteador/access-point-aruba-ap15-rw-instant-r2x06a,
RT-ACRH13,"R$ 928,92",,https://www.buscape.com.br/modem-e-roteador/roteador-access-point-867-mbps-asus,Asus
Professional 2.4GHZ 4W Wifi sem fio Amplificador Broadband Router impulsionador do sinal,"R$ 261,55",,https://www.buscape.com.br/modem-e-roteador/professional-2-4ghz-4w-wifi-sem-fio-amplificador-broadband-router-impulsionador-do-sinal,
Repetidor Roteador De Sinal Wi-fi 300mbps 50 Metros Pix Link,"R$ 132,97",,https://www.buscape.com.br/modem-e-roteador/repetidor-roteador-de-sinal-wi-fi-300mbps-50-metros-pix-link,
"REPETIDOR DE SINAL WIFI 2,4 BANDA UNICA ROHS","R$ 67,67",,https://www.buscape.com.br/modem-e-roteador/repetidor-de-sinal-wifi-2-4-banda-unica-rohs,
Roteador Wireless Roteador 4750078 Twib Giga+  Ac1200 Wi-fi Mesh Dual Band Wan e Rede Giga Tr069,"R$ 370,75",,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-roteador-4750078-twib-giga-ac1200-wi-fi-mesh-dual-band-wan-e-rede-giga-tr069,
Roteador Multilaser RE163  / 1 unidade,"R$ 159,90",,https://www.buscape.com.br/modem-e-roteador/roteador-multilaser-re163-1-unidade,
Repetidor De Sinal Wifi Wireless Amplificador 300mbps R45,"R$ 149,15",,https://www.buscape.com.br/modem-e-roteador/repetidor-de-sinal-wifi-wireless-amplificador-300mbps-r45,
Roteador Tp-link Extensor 300m Tl-wa850re,"R$ 194,43",,https://www.buscape.com.br/modem-e-roteador/roteador-tp-link-extensor-300m-tl-wa850re,
"Access Point TP-Link EAP235-Wall Parede MU-MIMO Gigabit Wireless AC1200 Dual Band 2,4/5Ghz","R$ 589,35",,https://www.buscape.com.br/modem-e-roteador/access-point-tp-link-eap235-wall-parede-mu-mimo-gigabit-wireless-ac1200-dual-band-2-4-5ghz,
Original durável para Xiaomi Mi 4c Wireless Router 2.4GHz 300Mbps quatro antenas,"R$ 126,70",,https://www.buscape.com.br/modem-e-roteador/original-duravel-para-xiaomi-mi-4c-wireless-router-2-4ghz-300mbps-quatro-antenas,
Repetidor de Sinal Wifi 300mbps,"R$ 69,00",,https://www.buscape.com.br/modem-e-roteador/repetidor-de-sinal-wifi-300mbps,
Mikrotik Routerboard Rb 760Igs Hex S 880Mhz 256Mb,"R$ 749,73",,https://www.buscape.com.br/modem-e-roteador/mikrotik-routerboard-rb-760igs-hex-s-880mhz-256mb,
