vendor,model,price,reviews,sells,url
MikroTik,RouterBOARD,879,99,2464,https://www.mercadolivre.com.br/roteador-mikrotik-routerboard-rb2011uias-rm-preto-100v240v/p/MLB6187811?pdp_filters=category:MLB5867
Asus,RT-AC59U,327.89,99,1288,https://www.mercadolivre.com.br/access-point-roteador-asus-rt-ac59u-preto-110v240v/p/MLB15839545?pdp_filters=category:MLB5867
Tenda,AC23,392.27,93,42,https://produto.mercadolivre.com.br/MLB-1643447644-roteador-tenda-ac23-gigabit-dual-band-ac-2100-mbps-mu-mimo-_JM
Xiaomi,Mi,99.69,89,2426,https://www.mercadolivre.com.br/roteador-xiaomi-mi-router-4c-branco/p/MLB15356706?pdp_filters=category:MLB5867
TP-Link,Archer,1675,89,1117,https://www.mercadolivre.com.br/roteador-access-point-tp-link-archer-ax6000-quad-core-v1-preto-100v240v/p/MLB15313755?pdp_filters=category:MLB5867
MikroTik,RouterBOARD,210.23,87,1499,https://www.mercadolivre.com.br/access-point-indoor-mikrotik-routerboard-hap-mini-rb931-2nd-preto-e-laranja/p/MLB9143184?pdp_filters=category:MLB5867
MikroTik,rbd52g,509,83,2096,https://www.mercadolivre.com.br/access-point-indoor-mikrotik-routerboard-hap-ac2-rbd52g-5hacd2hnd-tc-preto-100v240v/p/MLB13987146?pdp_filters=category:MLB5867
D-Link,DIR-825,399.49,79,1152,https://www.mercadolivre.com.br/roteador-d-link-dir-825-preto-100v240v/p/MLB15302813?pdp_filters=category:MLB5867
Xiaomi,Mi ax1800,544.72,78,718,https://www.mercadolivre.com.br/roteador-xiaomi-mi-ax1800-preto/p/MLB18621942?pdp_filters=category:MLB5867
Xiaomi,ax3000,544.72,78,423,https://produto.mercadolivre.com.br/MLB-2018920081-roteador-xiaomi-mi-router-ax3000-wi-fi-6-mesh-_JM
TP-Link,ec230,313.89,76,347,https://produto.mercadolivre.com.br/MLB-1670273127-roteador-tp-link-wireless-ac1350-dual-band-ec230-g1-_JM
Tenda,F3,145.35,75,1180,https://www.mercadolivre.com.br/roteador-tenda-f3-branco/p/MLB6323454?pdp_filters=category:MLB5867
TP-Link,SafeStream,537,73,3537,https://www.mercadolivre.com.br/roteador-tp-link-safestream-tl-r605-v1-preto-220v/p/MLB18371309?pdp_filters=category:MLB5867
Ubiquiti,EdgeRouter X,496,72,3355,https://www.mercadolivre.com.br/roteador-ubiquiti-edgerouter-x-er-x-preto/p/MLB7917412?pdp_filters=category:MLB5867
Multilaser,RE057,89,72,2617,https://www.mercadolivre.com.br/roteador-multilaser-re057-branco/p/MLB6136400?pdp_filters=category:MLB5867
Multilaser,RE016,339,71,83,https://produto.mercadolivre.com.br/MLB-2075091406-roteador-multilaser-ac2600-gigabit-sirius-preto-re016-_JM
