model,price,reviews,sells,url,vendor
TL-WR949N,155,"2,438",19383,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr949n-preto/p/MLB9141025?pdp_filters=category:MLB5867,TP-Link
,121.98,184,24,https://produto.mercadolivre.com.br/MLB-1791337645-repetidor-de-alcance-mercusys-mw300re-3-antenas-_JM,
,2033.33,13,7,https://produto.mercadolivre.com.br/MLB-1956099818-roteador-mikrotik-routerboard-rb4011igs5hacq2hnd-in-_JM,
Archer,169,330,4872,https://www.mercadolivre.com.br/roteador-wds-bridge-wmm-tp-link-archer-c20-v4-azul-e-branco-220v/p/MLB15910231?pdp_filters=category:MLB5867,TP-Link
RE305,317.85,708,9871,https://www.mercadolivre.com.br/repetidor-tp-link-re305-branco/p/MLB7930834?pdp_filters=category:MLB5867,TP-Link
,199.99,"1,350",1,https://produto.mercadolivre.com.br/MLB-2695331648-roteador-action-rf-1200-intelbras-_JM,
,119,178,20,https://produto.mercadolivre.com.br/MLB-1756808373-repetidor-de-sinal-wifi-300-mbps-bivolt-multilaser-re056-_JM,
,329.03,"6,675",2915,https://produto.mercadolivre.com.br/MLB-1309978688-roteador-tp-link-archer-c60-ac1350-wireless-dual-band-_JM,
RouterBOARD,629,156,6538,https://www.mercadolivre.com.br/roteador-mikrotik-routerboard-hex-s-rb760igs-cinza-100v240v/p/MLB10609285?pdp_filters=category:MLB5867,MikroTik
,408.88,532,1,https://produto.mercadolivre.com.br/MLB-2610081445-roteador-access-point-tp-link-archer-c80-v1-preto-mu-mimo-_JM,
Deco M5,675.23,"1,113",6367,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m5-branco-100v240v/p/MLB17331207?pdp_filters=category:MLB5867,TP-Link
,463.88,712,87,https://produto.mercadolivre.com.br/MLB-2089844557-mikrotik-routerboard-rb750-gr3-hex-880mhz-256mb-oferta-_JM,
Deco E4,621.37,423,3997,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-e4-branco-100v240v-2-unidades/p/MLB16014890?pdp_filters=category:MLB5867,TP-Link
UniFi,1179.23,7,765,https://www.mercadolivre.com.br/access-point-wmm-ubiquiti-unifi-ac-in-wall-uap-ac-iw-branco-220v/p/MLB16061427?pdp_filters=category:MLB5867,Ubiquiti
Archer,198.50,"1,130",20927,https://www.mercadolivre.com.br/roteador-access-point-tp-link-archer-c50-v4-branco-220v/p/MLB15304684?pdp_filters=category:MLB5867,TP-Link
DR4 300M,48.29,962,33634,https://www.mercadolivre.com.br/repetidor-dhj-dr4-300m-branco-110v220v/p/MLB17289456?pdp_filters=category:MLB5867,DHJ
,374.99,"2,128",6,https://produto.mercadolivre.com.br/MLB-1977719483-roteador-intelbras-rg1200-giga-internet-acima-de-200-megas-_JM,
,74.50,12,170,https://produto.mercadolivre.com.br/MLB-731796170-repetidor-de-sinal-wireless-300mbps-melhor-que-tp-d-link-_JM,
,382.61,"3,217",78,https://produto.mercadolivre.com.br/MLB-1575892294-roteador-tp-link-n-450mbps-high-power-tl-wr941hp-_JM,
